Player ID,Player Name,Gender,Team,Position,Primary Position,Tier,Price,Price Category,Value Rating,Ranking,Edition,In Latest Edition,Edition Count,Price Trend,Price Tier Ratio,Historical_Avg_Price,Historical_Min_Price,Historical_Max_Price,Historical_Avg_Tier,Price_Variance_From_Avg,Tier_Movement,Value_Proposition,Tier_Min_Ranking,Is_Tier_Top,Export_Date,Data_Version,Recommended_Price
73,Shiv Sharma,Man,Hype Fly FC,"Attacker, Midfielder",Midfielder,3,22,Medium,0.91,,APL 6.0,False,1,0.0,7.333333333333333,22.0,22,22,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
74,Shudiksha Basu,Non-Cis,GETY FC,"Attacker, Defender",Defender,3,4,Low,5.0,,APL 6.0,False,1,0.0,1.3333333333333333,4.0,4,4,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
75,Siddh Veer Bakshi,Man,HR26,"Attacker, Midfielder",Midfielder,3,15,Medium,1.33,,APL 6.0,False,1,0.0,5.0,15.0,15,15,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
76,Siddharth Menon,Man,A-Z,"Attacker, Midfielder",Midfielder,3,7,Low,2.86,,APL 6.0,False,1,0.0,2.333333333333333,7.0,7,7,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
77,Siddharth Sonal,Man,Dholakpur FC,"Defender, Midfielder",Defender,3,16,Medium,1.25,,APL 6.0,False,2,0.0,5.333333333333333,15.5,15,16,3.0,0.5,0.0,,1.0,False,2025-04-07,1.0,
78,Smayan Chadha,Man,BantaBros,"Attacker, Defender",Defender,3,13,Medium,1.54,,APL 6.0,False,1,0.0,4.333333333333333,13.0,13,13,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
79,Souti Mukhopadhyay,Man,ELEPHANT.,"Attacker, Midfielder",Midfielder,3,10,Medium,2.0,,APL 6.0,False,1,0.0,3.333333333333333,10.0,10,10,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
80,Tamarish Talukdar,Man,F.C. Pineapple,"Defender, Midfielder",Defender,3,3,Low,6.67,,APL 6.0,False,2,0.0,1.0,1.5,0,3,2.5,1.5,0.0,,1.0,False,2025-04-07,1.0,
81,Tanay Parekh,Man,Magic Moments,"Defender, Midfielder",Defender,3,24,Medium,0.83,,APL 6.0,False,2,0.0,8.0,19.5,15,24,3.0,4.5,0.0,,1.0,False,2025-04-07,1.0,
82,Tanvi Jain,Non-Cis,Hasbulla FC,"Attacker, Midfielder",Midfielder,3,2,Low,10.0,,APL 6.0,False,2,0.0,0.6666666666666666,4.0,2,6,3.5,-2.0,0.0,,1.0,False,2025-04-07,1.0,
83,Tejasdeep Singh,Man,ELEPHANT.,"Defender, Midfielder",Defender,3,31,High,0.65,,APL 6.0,False,1,0.0,10.333333333333334,31.0,31,31,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
84,Uttkarsh Kohli,Man,Suiiicide Squad,"Attacker, Midfielder",Midfielder,3,25,Medium,0.8,,APL 6.0,False,2,0.0,8.333333333333334,20.0,15,25,3.0,5.0,0.0,,1.0,False,2025-04-07,1.0,
85,vansh jogani,Man,FZ Warriors,"Attacker, Midfielder",Midfielder,3,30,High,0.67,,APL 6.0,False,1,0.0,10.0,30.0,30,30,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
86,Vibhuti Gupta,Non-Cis,ELEPHANT.,"Attacker, Midfielder",Midfielder,3,9,Low,2.22,,APL 6.0,False,1,0.0,3.0,9.0,9,9,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
87,Vighnesh P,Man,KFC,Goalkeeper,Goalkeeper,3,16,Medium,1.25,,APL 6.0,False,1,0.0,5.333333333333333,16.0,16,16,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
88,Vini Desai,Non-Cis,Chakravyuh,"Defender, Goalkeeper",Goalkeeper,3,1,Low,20.0,,APL 6.0,False,1,0.0,0.3333333333333333,1.0,1,1,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
89,Aadi Menon,Man,The Red Challengers,"Attacker, Midfielder",Midfielder,4,3,Low,3.33,,APL 6.0,False,2,0.0,0.75,9.0,3,15,3.5,-6.0,0.0,,1.0,False,2025-04-07,1.0,
90,Aakanksha Agrawal,Non-Cis,The Übermensch United,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
91,Aan Rakshit,Man,Hype Fly FC,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,2,0.0,0.5,4.0,2,6,4.0,-2.0,0.0,,1.0,False,2025-04-07,1.0,
92,Aarav Jain,Man,Thaali Number 420,"Goalkeeper, Midfielder",Goalkeeper,4,5,Low,2.0,,APL 6.0,False,2,0.0,1.25,10.0,5,15,3.5,-5.0,0.0,,1.0,False,2025-04-07,1.0,
93,Adarsh Raj,Man,Billi FC,"Attacker, Midfielder",Midfielder,4,1,Low,10.0,,APL 6.0,False,1,0.0,0.25,1.0,1,1,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
94,Aditi Narwekar,Non-Cis,The Red Challengers,"Defender, Goalkeeper",Goalkeeper,4,5,Low,2.0,,APL 6.0,False,3,6.0,1.25,3.7,0,6,4.0,1.2999999999999998,0.0,,1.0,False,2025-04-07,1.0,
95,Aditya Dogra,Man,ELEPHANT.,"Goalkeeper, Midfielder",Goalkeeper,4,3,Low,3.33,,APL 6.0,False,2,0.0,0.75,9.0,3,15,3.5,-6.0,0.0,,1.0,False,2025-04-07,1.0,
96,Aditya Goel,Man,Chakravyuh,"Defender, Midfielder",Defender,4,1,Low,10.0,,APL 6.0,False,1,0.0,0.25,1.0,1,1,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
97,Afsaar Maniyar,Man,A-Z,"Defender, Midfielder",Defender,4,1,Low,10.0,,APL 6.0,False,1,0.0,0.25,1.0,1,1,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
98,Akshat Arora,Man,Chakravyuh,"Defender, Midfielder",Defender,4,1,Low,10.0,,APL 6.0,False,1,0.0,0.25,1.0,1,1,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
99,Akshat Jain,Man,Billi FC,"Attacker, Midfielder",Midfielder,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
100,Allen Binu Alex,Man,The Red Challengers,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
101,Aman Sharma,Man,F.C. Pineapple,"Attacker, Midfielder",Midfielder,4,12,Medium,0.83,,APL 6.0,False,2,0.0,3.0,13.5,12,15,3.5,-1.5,0.0,,1.0,False,2025-04-07,1.0,
102,Amit Kumar,Non-Cis,King's Private,"Defender, Midfielder",Defender,4,3,Low,3.33,,APL 6.0,False,1,0.0,0.75,3.0,3,3,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
103,Anantharaman S V,Man,Hype Fly FC,"Defender, Midfielder",Defender,4,5,Low,2.0,,APL 6.0,False,1,0.0,1.25,5.0,5,5,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
104,Anirudh Krishnan,Man,Hype Fly FC,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
105,Anirudha Ahluwalia,Man,The Red Challengers,"Attacker, Midfielder",Midfielder,4,6,Low,1.67,,APL 6.0,False,1,0.0,1.5,6.0,6,6,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
106,Anna Upreti,Non-Cis,Ngolo FC,"Defender, Goalkeeper",Goalkeeper,4,3,Low,3.33,,APL 6.0,False,1,0.0,0.75,3.0,3,3,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
107,Anupam Varma,Man,King's Private,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,2,0.0,0.5,8.5,2,15,3.5,-6.5,0.0,,1.0,False,2025-04-07,1.0,
108,Anushri Tewari,Non-Cis,Hype Fly FC,"Attacker, Midfielder",Midfielder,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
109,Anya Mandal,Non-Cis,A-Z,"Defender, Midfielder",Defender,4,1,Low,10.0,,APL 6.0,False,2,0.0,0.25,0.5,0,1,4.0,0.5,0.0,,1.0,False,2025-04-07,1.0,
110,Arhaan Gupta,Man,GETY FC,"Defender, Midfielder",Defender,4,4,Low,2.5,,APL 6.0,False,2,0.0,1.0,5.0,4,6,4.0,-1.0,0.0,,1.0,False,2025-04-07,1.0,
111,Arihant Hemendra,Man,No Cap FC,"Defender, Midfielder",Defender,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
112,Arin Prabhat,Man,Mango Bomb,"Attacker, Midfielder",Midfielder,4,2,Low,5.0,,APL 6.0,False,1,0.0,0.5,2.0,2,2,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
113,Arko Dutt,Man,Ngolo FC,"Defender, Midfielder",Defender,4,1,Low,10.0,,APL 6.0,False,1,0.0,0.25,1.0,1,1,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
114,Arnav Haldia,Man,Billi FC,"Defender, Midfielder",Defender,4,8,Low,1.25,,APL 6.0,False,2,0.0,2.0,11.5,8,15,3.5,-3.5,0.0,,1.0,False,2025-04-07,1.0,
115,Arya Shah,Man,BantaBros,"Defender, Goalkeeper",Goalkeeper,4,8,Low,1.25,,APL 6.0,False,2,0.0,2.0,11.5,8,15,3.5,-3.5,0.0,,1.0,False,2025-04-07,1.0,
116,Aryan Gupta,Man,Magic Moments,"Attacker, Midfielder",Midfielder,4,4,Low,2.5,,APL 6.0,False,2,0.0,1.0,5.0,4,6,4.0,-1.0,0.0,,1.0,False,2025-04-07,1.0,
117,Atharv Bokil,Man,BantaBros,"Attacker, Defender",Defender,4,4,Low,2.5,,APL 6.0,False,1,0.0,1.0,4.0,4,4,4.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
